计数,内容
15,"《定风波·莫听穿林打叶声》
竹杖芒鞋轻胜马，谁怕，一蓑烟雨任平生"
14,"《赤壁赋》
寄蜉蝣于天地，渺浮海之一粟"
13,"《定风波·南海归赠王定国侍人寓娘》
试问岭南应不好，却道，此心安处是吾乡"
13,"《和子由渑池怀旧》
人生到处知何似，应似飞鸿踏雪泥"
13,"《浣溪沙·细雨斜风作晓寒》
雪沫乳花浮午盏，蓼茸蒿笋试春盘，人间有味是清欢"
13,"《临江仙·送钱穆父》
人生如逆旅，我亦是行人"
13,"《临江仙·夜饮东坡醒复醉》
小舟从此逝，江海寄余生"
12,"《点绛唇·闲倚胡床》
与谁同坐，明月清风我"
12,"《记承天寺夜游》
但少闲人如吾两人者尔"
12,"《六月二十日夜渡海》
云散月明谁点缀，天容海色本澄清"
12,"《念奴娇·赤壁怀古》
大江东去，浪淘尽、千古风流人物"
12,"《西江月·世事一场大梦》
世事一场大梦，人生几度秋凉"
11,"《浣溪沙·山下兰芽短浸溪》
门前流水尚能西，休将白发唱黄鸡"
11,"《临皋闲题》
江山风月，本无常主，闲者便是主人"
11,"《水调歌头·黄州快哉亭赠张偓佺》
一点浩然气，千里快哉风"
11,"《水调歌头·明月几时有》
但愿人长久，千里共婵娟"
11,"《望江南·超然台作》
且将新火试新茶，诗酒趁年华"
11,"《行香子·述怀》
对一张琴，一壶酒，一溪云"
10,"《卜算子·黄州定慧院寓居作》
拣尽寒枝不肯栖，寂寞沙洲冷"
10,"《东栏梨花》
惆怅东栏一株雪，人生看得几清明"
10,"《后赤壁赋》
山高月小，水落石出"
10,"《江城子·乙卯正月二十日夜记梦》
十年生死两茫茫，不思量、自难忘"
10,"《沁园春·孤馆灯青》
用舍由时，行藏在我，袖手何妨闲处看"
10,"《题西林壁》
不识庐山真面目，只缘身在此山中"
10,"《行香子·过七里濑》
但远山长，云山乱，晓山青"
9,"《蝶恋花·春景》
枝上柳绵吹又少，天涯何处无芳草"
9,"《惠州一绝》
日啖荔枝三百颗，不辞长作岭南人"
9,"《江城子·密州出猎》
老夫聊发少年狂，左牵黄、右擎苍"
9,"《老饕赋》
先生一笑而起，渺海阔而天高"
9,"《满庭芳·蜗角虚名》
百年里，浑教是醉，三万六千场"
